AULAS_DE_CLASE
A101,09,10,2024-11-20
A101,11,12,2024-11-20
A102,10,11,2024-11-20
A102,12,13,2024-11-20
A104,09,10,2024-11-20
A104,11,12,2024-11-20
A105,10,11,2024-11-20
A105,12,13,2024-11-20
A106,09,10,2024-11-20
A106,11,12,2024-11-20
A201,10,11,2024-11-20
A201,12,13,2024-11-20
A202,09,10,2024-11-20
A202,11,12,2024-11-20
A204,10,11,2024-11-20
A204,12,13,2024-11-20
A205,09,10,2024-11-20
A205,11,12,2024-11-20
A206,10,11,2024-11-20
A206,12,13,2024-11-20
A301,09,10,2024-11-20
A301,11,12,2024-11-20
A302,10,11,2024-11-20
A302,12,13,2024-11-20
A303,09,10,2024-11-20
A303,11,12,2024-11-20
A304,10,11,2024-11-20
A304,12,13,2024-11-20
A305,09,10,2024-11-20
A305,11,12,2024-11-20
A306,10,11,2024-11-20
A306,12,13,2024-11-20
A307,09,10,2024-11-20
A307,11,12,2024-11-20
